Title,description,image_link,Link,ID,price,Availability
Palm Leaves Paper Cocktail Napkins,"<p>The perfect cocktail napkins for your next luau. This palm leaf print will add an extra dash of fun. 5"" X 5"" paper napkins</p><p>Pack of 25 Recyclable and compostable!</p>",https://static.wixstatic.com/media/79430e_ba18fa19be3c440e91a9e5172459f48c~mv2.png,https://www.sugargirleeco.com/product-page/palm-leaves-paper-cocktail-napkins,NP5-MUL-006,9.5,In Stock
Happy Llama Small Paper Party Plates,"<p>Save the drama for your llama.</p><p>&nbsp;</p><p>Adorned with an irresistible pink llama that will bring a smile to guests young and old, these small plates are the ideal size for serving desserts or small bites.</p><p>&nbsp;</p><p>Includes 10 plates. 7.25"" paper plates</p><p>&nbsp;</p><p>Pack of 10 Recyclable and compostable Extra sturdy - pile on the second serving!</p>",https://static.wixstatic.com/media/79430e_41b2d1b9117140cd8994a72bb09b8687~mv2.png,https://www.sugargirleeco.com/product-page/happy-llama-small-paper-party-plates-10-count,P7A-MUL-008,9.5,In Stock
Sunshine Yellow Classic Large Plates (10 Count),"<p>These round plates come in an array of eye-catching colors, making them our go-to for any occasion. The larger size is ideal for serving meals or heavier apps (fruit salad, anyone?).</p><p>&nbsp;</p><p>Includes 10 plates.</p>",https://static.wixstatic.com/media/79430e_0685424612b64a88800b36117b829dc5~mv2.png,https://www.sugargirleeco.com/product-page/sunshine-yellow-classic-large-plates-10-count,P9A-YEL-001,9.5,In Stock
"Yes Way, Ombre Small Plates (10 Count)",<p>Spin the color wheel with these multi-hued plates.</p><p>Soft pastels gently blend together for the perfect ombre look.&nbsp;Includes 10 plates.</p>,https://static.wixstatic.com/media/79430e_0b7e028052874352a1cc3519bf5d7306~mv2.png,https://www.sugargirleeco.com/product-page/yes-way-ombre-small-plates-10-count,P7B-MUL-001,9.5,In Stock
French Toile Paper Cocktail Napkins (25 Count),"<p>These napkins will elevate any gathering, whether you are catching baguette crumbs or cleaning up Bordeaux spills.</p><p>Set the table and feel an immediate Provençal breeze.</p><p>&nbsp;</p><p>Includes 25 napkins. 5"" X 5"" paper napkins</p><p>Pack of 25 Recyclable and compostable!</p>",https://static.wixstatic.com/media/79430e_d82faaa9cf3a4d609158c44e9526f6cc~mv2.png,https://www.sugargirleeco.com/product-page/french-toile-paper-cocktail-napkins-25-count,NP5-BLU-004,9.5,In Stock
Pale Pink Brushstroke Cocktail Napkins (25 Count),<p>Add sparkle to a demure color palette with these playful napkins. The metallic gold really pops against the pink.&nbsp;</p><p>&nbsp;</p><p>Includes 25 napkins.</p>,https://static.wixstatic.com/media/79430e_69df9cc9560445c08023cfaf023902b9~mv2.jpeg,https://www.sugargirleeco.com/product-page/pale-pink-brushstroke-cocktail-napkins-25-count,NP5-PNK-001,9.5,In Stock
French Toile Small Paper Party Plates (10 Count),"<p>Classic and elegant, our floral toile small plates bring a touch of the French countryside to any occasion.</p><p>Featuring a deep blue toile pattern, the plates are the ideal size for small bites and desserts.</p><p>&nbsp;</p><p>Includes 10 plates. 7.25"" paper plates</p><p>Pack of 10 Recyclable and compostable Extra sturdy - pile on the second serving!</p>",https://static.wixstatic.com/media/79430e_db2da2fa068748e7a62438fbc342be65~mv2.png,https://www.sugargirleeco.com/product-page/french-toile-small-paper-party-plates-10-count,P7A-BLU-006,9.5,In Stock
Unicorn Dreams Mini Toppers,"<p>Give your party a little giddy up with these whimsical unicorn-themed mini toppers.</p><p>Use them in sweets and snacks or anywhere you need some extra magic.</p><p>&nbsp;</p><p><strong>Details </strong></p><p>&nbsp;</p><p>Double-sided paper toppers with glitter accents. Each topper measures approx. 2"" to 3"" wide x 1.5"" to 2.5"" tall.</p><p>&nbsp;</p><p>Pack of 10, 5 of each design.</p>",https://static.wixstatic.com/media/79430e_d8acd774714845229a5f43132d7a3eab~mv2.jpeg,https://www.sugargirleeco.com/product-page/unicorn-dreams-mini-toppers,TPP-MUL-003,8,In Stock
Fairytale Mini Toppers,"<p>Set the royal mood with these fun mini toppers that are the perfect complement to any princess party.</p><p>&nbsp;</p><p>Use them in sweets and snacks to bring a fairy tale spirit that even the tiniest guests will appreciate.</p><p>&nbsp;</p><p><strong>Details</strong></p><p>&nbsp;</p><p>Double-sided paper toppers. Each topper measures approx. 2.5"" wide x 1"" to 2"" tall.</p><p>Pack of 10, 5 of each design.</p>",https://static.wixstatic.com/media/79430e_fc7e6e1cf8024474843f783738d46702~mv2.png,https://www.sugargirleeco.com/product-page/fairytale-mini-toppers,TPP-MUL-004,8,In Stock
Pale Pink Pinstripe Cups,<p>You can't go wrong with this classic cup.</p><p>&nbsp;</p><p>It's made from pale pink that's thinly striped with gold for an upscale but uncomplicated vibe.</p><p>&nbsp;</p><p>Includes 10 cups. Details 9oz paper cups. Pack of 10. Compostable!</p>,https://static.wixstatic.com/media/79430e_788e99e858364b0bbd1f0c759710d05c~mv2.png,https://www.sugargirleeco.com/product-page/pale-pink-pinstripe-cups,CP9-PNK-001,8,In Stock
"Yes Way, Ombre Large Plates",<p>Spin the color wheel with these multi-hued plates.</p><p>Soft pastels gently blend together for the perfect ombre look.</p><p>&nbsp;</p><p>Includes 10 plates.</p>,https://static.wixstatic.com/media/79430e_1d715c48d94c4e00b08fb0035eb6867e~mv2.jpeg,https://www.sugargirleeco.com/product-page/yes-way-ombre-large-plates-10-count,P9B-MUL-001,11,In Stock
French Toile Large Paper Party Plates,"<p>Bring the spirit of the French countryside to your next garden party with our floral toile large plates. And while the flowers on the classic toile pattern may appear delicate, the plates are anything but.</p><p>&nbsp;</p><p>Includes 10 plates. 9.25"" paper plates</p><p>Pack of 10 Recyclable and compostable Extra sturdy - pile on the second serving!</p>",https://static.wixstatic.com/media/79430e_909ffcee45de4229afaef8d095c0f2ad~mv2.jpeg,https://www.sugargirleeco.com/product-page/french-toile-large-paper-party-plates-10-count,P9A-BLU-006,11,In Stock
Palm Leaves Large Paper Party Plates,"<p>The perfect paper party plates for your next luau. This palm leaf print will add an extra dash of fun.</p><p>&nbsp;</p><p>9.25"" paper plates</p><p>&nbsp;</p><p>Pack of 10 Recyclable and compostable Extra sturdy - pile on the second serving!</p>",https://static.wixstatic.com/media/79430e_46fcdec3b7ce4eb08d2b32f3bd4850c7~mv2.jpeg,https://www.sugargirleeco.com/product-page/palm-leaves-large-paper-party-plates-10-count,P9B-MUL-005,11,In Stock
In Full Bloom Small Plates,<p>Give your party a fresh from the garden feel with these small plates that are the perfect size for small bites and desserts.</p><p>&nbsp;</p><p>The contemporary floral print is accented with a gold rim.</p><p>&nbsp;</p><p>Includes 10 plates.</p>,https://static.wixstatic.com/media/79430e_85303ddf61c8452ab233682cd4d87b3e~mv2.jpeg,https://www.sugargirleeco.com/product-page/in-full-bloom-small-plates,P7A-MUL-001,9.5,In Stock
Fairytale Small Plates,<p>Craft a happy ending for the guests at your princess party with these small plates.</p><p>They show a fun castle scene and are the perfect size for cake and other desserts.</p><p>&nbsp;</p><p>Includes 10 plates.</p>,https://static.wixstatic.com/media/79430e_e99945f9005b4987930034a4de796bac~mv2.jpeg,https://www.sugargirleeco.com/product-page/fairytale-small-plates,P7A-PUR-003,9.5,In Stock
Metallic Gold Cutlery,"<p>Silver spoons are overrated. We love this gold metallic cutlery, which adds an opulent vibe to any event. The plastic is heavyweight, so it has a nice feel in your hands and you don't have to worry about it snapping or bending.</p><p>&nbsp;</p><p>This&nbsp;pack&nbsp;is enough for 10 guests (10 forks, 10 knives and 10 spoons).</p><p>&nbsp;</p><p>We'll leave the guest list up to you!</p>",https://static.wixstatic.com/media/79430e_42c5bafff69e4e58850463059b1cadae~mv2.jpeg,https://www.sugargirleeco.com/product-page/metallic-gold-cutlery-30-count,CUT-GLD-001,12,In Stock
Happy Llama Paper Napkins,"<p>It doesn't get much cuter than these napkins shaped like everyone's favorite pack animal.</p><p>&nbsp;</p><p>The festive pink llama napkins make it fun to mind your manners.</p><p>&nbsp;</p><p>Includes 25 napkins. 7.5"" X 5.5"" paper napkins</p><p>&nbsp;</p><p>Pack of 25 Recyclable and compostable!</p>",https://static.wixstatic.com/media/79430e_964f92f8deda44cdb83b1df635840889~mv2.png,https://www.sugargirleeco.com/product-page/happy-llama-paper-napkins-25-count,NAP-MUL-002,11,In Stock
Fairytale Large Plates,<p>Every princess and prince needs a plate worthy of their royal status.</p><p>These large plates can accommodate all kinds of yummy food and will make your guests feel like the main characters in a fairy tale.</p><p>&nbsp;</p><p>Includes 10 plates.</p>,https://static.wixstatic.com/media/79430e_dbc795d13db9410aadd54a41e57c0a64~mv2.png,https://www.sugargirleeco.com/product-page/fairytale-large-plates,P9A-PNK-003,11,In Stock
In Full Bloom Napkins,<p>Make it feel like spring has sprung year round with the In Full Bloom Cocktail Napkins.</p><p>&nbsp;</p><p>The pale tones on the floral napkins make a wonderful addition to any party (no garden required!).</p><p>&nbsp;</p><p>Includes 25 napkins.</p>,https://static.wixstatic.com/media/79430e_203c90b3d5784b07b353bed0c75fa3ef~mv2.png,https://www.sugargirleeco.com/product-page/fairytale-large-plates,NAP-MUL-001,11,In Stock
Unicorn Dreams Cups,<p>Who needs juice boxes when you can drink in the magic with these adorable rainbow unicorn cups? Includes 10 cups</p>,https://static.wixstatic.com/media/79430e_40a8de28ab0a4c06adc5acbfe472705b~mv2.png,https://www.sugargirleeco.com/product-page/unicorn-dreams-cups,CP9-PNK-002,12.5,In Stock
Wooden Cutlery Set,"<p>You don't need to know which side to put the fork on to know that this Wooden Cutlery Set is a ""must have"" when you entertain.</p><p>&nbsp;</p><p>The eco friendly wood set includes 10 forks, 10 spoons, and 10 knives in a natural tone.</p>",https://static.wixstatic.com/media/79430e_cffdb6bae2544f798edc677cb5c6221b~mv2.jpeg,https://www.sugargirleeco.com/product-page/wooden-cutlery-set,CUT-NNE-001,16,In Stock
Pale Pink Wooden Cutlery Set,"<p>You don't need to know which side to put the fork on to know that this Wooden Cutlery Set is a ""must have"" when you entertain.</p><p>&nbsp;</p><p>The eco friendly wood set includes 10 forks, 10 spoons, and 10 knives.</p><p>&nbsp;</p><p>The two-tone handles stylishly incorporate a pale pink hue.</p>",https://static.wixstatic.com/media/79430e_cffdb6bae2544f798edc677cb5c6221b~mv2.jpeg,https://www.sugargirleeco.com/product-page/pale-pink-wooden-cutlery-set,CUT-PNK-001,19,In Stock
Magnolia Wall Flower,"<p>An imaginative way to bring a floral touch, these magnolia wall decorations are part of Coterie's&nbsp;collaboration with Reese Witherspoon's Draper James.</p><p>&nbsp;</p><p>They're sure to brighten up your room and your mood.</p>",https://static.wixstatic.com/media/79430e_e72f5df47d3e426cbec5c04ce3e9dda2~mv2.jpeg,https://www.sugargirleeco.com/product-page/magnolia-wall-flower,FLW-WHT-001,47,In Stock
Mint and Gold Paper Straws,"<p>The easiest way to garnish a cocktail, these paper straws add interest to any beverage.</p><p>The mint-and-gold design pairs perfectly with any of our gold-accented dishes and cups.</p><p>&nbsp;</p><p>Includes 25 straws.</p>",https://static.wixstatic.com/media/79430e_c4589016216441b8af70a97890677205~mv2.jpeg,https://www.sugargirleeco.com/product-page/mint-and-gold-paper-straws,STR-MNT-001,8,In Stock
Dream Mini Balloons,"<p>Our favorite balloons in mini form! High quality, 100% biodegradable balloons that perfectly coordinate with our Classic Balloons.</p><p>• 36 balloons</p><p>• 5"" diameter, sourced from North America&nbsp;</p>",https://static.wixstatic.com/media/79430e_ddb7fa6cd8514dc7b69d503ef30bf231~mv2.jpeg,https://www.sugargirleeco.com/product-page/dream-mini-balloons,MB-01-DR,16,In Stock
Candy Classic Balloons,"<p>Studio Pep</p><p>&nbsp;</p><p>Our best selling Classic Balloon Packs include high quality, 100% biodegradable balloons and each confetti balloon is hand-filled with our artisan confetti.</p><p>&nbsp;</p><p>• 12 balloons (9 solid colored balloons + 3 pre-filled confetti balloons)</p><p>• 11"" diameter, sourced from North America</p><p>&nbsp;</p>",https://static.wixstatic.com/media/79430e_123c4a0f8d6646949fa5d78d463801e0~mv2.jpeg,https://www.sugargirleeco.com/product-page/candy-classic-balloons,CB-01-CA,19,In Stock
Dream Classic Balloons,"<p>Studio Pep</p><p>&nbsp;</p><p>Our best selling Classic Balloon Packs include high quality, 100% biodegradable balloons and each confetti balloon is hand-filled with our artisan confetti.</p><p>&nbsp;</p><p>• 12 balloons (9 solid colored balloons + 3 pre-filled confetti balloons)</p><p>• 11"" diameter, sourced from North America</p>",https://static.wixstatic.com/media/79430e_300a2c17dd044e8f981d071177b5276f~mv2.jpg,https://www.sugargirleeco.com/product-page/dream-classic-balloons,CB-01-DR,19,In Stock
Ice Cream Classic Balloons,"<p>Studio Pep</p><p>&nbsp;</p><p>Our best selling Classic Balloon Packs include high quality, 100% biodegradable balloons and each confetti balloon is hand-filled with our artisan confetti.</p><p>&nbsp;</p><p>Packaged with pep in our PA, USA studio.</p><p>&nbsp;</p><p>• 12 balloons (9 solid colored balloons + 3 pre-filled confetti balloons)</p><p>• 11"" diameter, sourced from North America</p><p>• Packaged in a 3 5/8 x 5/8 x 5 5/8” clear box</p>",https://static.wixstatic.com/media/79430e_a038f8d2e7e9445fb06e5daa2bb3953b~mv2.jpeg,https://www.sugargirleeco.com/product-page/ice-cream-classic-balloons,CB-01-IC,19,In Stock
Blush Sequin Face Mask,Social Distance Stylishly and Celebrate Safely with our Fashionable Face Masks! 	Reusable	Comfy	Breathable  Materials: 87%NYLON8% METALLIC5%SPANDEX Made in USA Masks are not FDA Approved and are not a replacement for medical-grade N95 masks or PPE but are meant to bridge the gap.,https://static.wixstatic.com/media/79430e_07d5aaea52c74a1e8f06b21d698f8c37~mv2.png,https://www.sugargirleeco.com/product-page/black-sequin-face-mask,"3221-mina
",15,In Stock
Black Sequin Face Mask,Social Distance Stylishly and Celebrate Safely with our Fashionable Face Masks! 	Reusable	Comfy	Breathable  Materials: 87%NYLON8%METAL5%SPANDEX Made in USA Masks are not FDA Approved and are not a replacement for medical-grade N95 masks or PPE but are meant to bridge the gap.,https://static.wixstatic.com/media/79430e_cceba8df6922425a93c28820f5cf754b~mv2.png,https://www.sugargirleeco.com/product-page/blush-sequin-face-mask,"MC5221-natasha
",15,In Stock
Balloon Bouquet - Light Pink,<p>This mix of soft pink balloons is perfect for a baby shower or birthday party.<br><br><strong>Bundle Includes:</strong><br>3&nbsp;Printed&nbsp;Confetti Balloons ( 12 inch )<br>4 Solid Latex Balloons ( 11 inch )<br>2 Mylar Balloons ( 18 inch )</p><p>&nbsp;</p><p><strong>Good to Know:</strong></p><p><br>The clear balloons have the confetti&nbsp;<strong><em>printed</em>&nbsp;</strong>on the outside. <u>None of the balloons in this bouquet contain cut confetti.</u></p><p>&nbsp;</p><p><em>Balloons ship deflated. Fill with helium to float.</em></p><p>&nbsp;</p><p>Paperboy</p>,https://static.wixstatic.com/media/79430e_ca1c745bc7cf4da38ee814ec61c94122~mv2.png,https://www.sugargirleeco.com/product-page/balloon-bouquet-light-pink,BBU-3434,16,In Stock
Paper Plates - Hexagon - Navy & Gold,"<p>These hexagonal paper plates are the perfect shade of navy, with soft gold foil accents.</p><p>&nbsp;</p><ul>	<li>Dinner plate size (11 inches / 28cm)</li>	<li>Each pack contains 8 paper plates</li>	<li>Not safe for microwave use</li>	<li>Designed by Paperboy</li></ul>",https://static.wixstatic.com/media/79430e_e4fd275448fc489d9fb497cd2b9ba4e4~mv2.png,https://www.sugargirleeco.com/product-page/paper-plates-hexagon-navy-gold,TPL-1325,10,In Stock
Confetti - Champagne,"<p>Tissue paper confetti in beautiful shades of champagne, neutrals, and gold.</p><p>&nbsp;</p><p>Our confetti is made and packaged by hand in our Portland studio from the highest quality tissue paper and mylar. When thrown in the air, it flutters like snow, so it's perfect for tossing! It looks beautiful scattered across a table or any other surface for a festive touch.</p><p>&nbsp;</p><p>Each bag contains 1/2 oz (14g) of 1 inch diameter circle cut confetti - around 1 cup by volume, when fluffed. Handcrafted in Portland, Oregon USA</p>",https://static.wixstatic.com/media/79430e_037ea51963d746b489e33d40e65a7ee6~mv2.png,https://www.sugargirleeco.com/product-page/confetti-champagne,CHB-1011,5,In Stock
Calm Down Candle,"<p>The cutest damn candle. And it smells good, too.</p><p>&nbsp;</p><p>Your best friend be like: ""Girl, you need to calm the f down"".</p><p>If zen were a fragrance, this would be it. Experience the earth, bark, and blossom of the Japanese cherry tree. Light this up and wind your ass down.</p><p>&nbsp;</p><p>This candle is 100% soy wax, fragranced with essential oils. It’s phthalate-free.</p><p>&nbsp;</p><p>Thanks, baby girl xoxo.</p><p>&nbsp;</p><p>Crafted by: Ryan Porter</p>",https://static.wixstatic.com/media/79430e_9cbcf27418bc4459848a26277535ab43~mv2.png,https://www.sugargirleeco.com/product-page/calm-down-candle,CLM-001,26,In Stock
Confetti - Blush & Rose Gold,"<p>&nbsp;</p><p>Tissue paper confetti in beautiful shades of blush pink, ivory, and rose gold. One of our best sellers!</p><p>&nbsp;</p><p>Our confetti is made and packaged by hand in our Portland studio from the highest quality tissue paper and mylar. When thrown in the air, it flutters like snow, so it's perfect for tossing!</p><p>&nbsp;</p><p>It looks beautiful scattered across a table or any other surface for a festive touch.</p><p>&nbsp;</p><p>Each bag contains 1/2 oz (14g) of 1 inch diameter circle cut confetti - around 1 cup by volume, when fluffed.</p><p>&nbsp;</p><p>Handcrafted in Portland, Oregon USA</p>",https://static.wixstatic.com/media/79430e_ce26f5b968734445aca2d872d0fa2abf~mv2.png,https://www.sugargirleeco.com/product-page/confetti-blush-rose-gold,CHB-1002,5,In Stock
Paper Plates - Hexagon - Dalmatian,<p>These hexagonal paper plates are patterned with a painterly black Dalmatian spot on a creamy soft white background. Effortlessly chic</p><p>&nbsp;</p><ul>	<li>Dessert plate size (8 inches / 20cm)</li>	<li>Each pack contains 8 paper plates</li>	<li>Not safe for microwave use</li>	<li>Designed by Paperboy</li></ul>,https://static.wixstatic.com/media/79430e_930527f0a79a4198b7d6f80ba02e56df~mv2.png,https://www.sugargirleeco.com/product-page/paper-plates-hexagon-dalmatian,TPS-1003,8,In Stock
